MSSV,Student_Profile,Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,Risk_Score,Risk_Level,OJT_Delay_Risk,OJT_Eligible,OJT_Readiness,AI_Recommendation,Credit_Progress_Category,OJT_Credit_Gap,OJT_Credit_Progress,OJT_Eligibility_Gap_Category,Academic_Risk_Index,Academic_Stability,OJT_Semester_Gap,OJT_Planning_Status,Required_Average_Credits_Per_Semester,Credit_Completion_Efficiency
SE1800028,Average,3,6.31,120,57,63,47.5,19.0,43,1,1,1,0,0,5,8,Medium,0,False,57.5,Complete at least 43 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,43,57.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,21.5,100.0
SE1800029,Average,2,6.35,120,31,89,25.83,15.5,69,1,3,1,0,0,6,9,Medium,0,False,40.5,Complete at least 69 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Early,69,31.0,Far_From_Eligible,5,50,4,Long_Term_Planning,17.25,100.0
SE1800030,Average,8,6.65,120,108,12,90.0,13.5,0,3,3,2,0,0,8,8,Medium,0,False,67.0,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,8,20,0,OJT_Ready_Stage,0.0,100.0
SE1800031,Good,6,8.11,120,102,18,85.0,17.0,0,1,1,0,0,0,7,2,Low,0,True,86.0,Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,2,80,1,Approaching_OJT,0.0,100.0
SE1800032,Average,3,6.9,120,45,75,37.5,15.0,55,1,4,1,0,0,6,9,Medium,0,False,45.5,Complete at least 55 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,55,45.0,Far_From_Eligible,6,40,3,Long_Term_Planning,18.33,100.0
SE1800033,AtRisk,5,5.26,120,82,38,68.33,16.4,18,5,6,3,1,0,6,17,High,1,False,31.0,Complete at least 18 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,18,82.0,Near_Eligible,15,0,1,Approaching_OJT,18.0,100.0
SE1800034,Recovery,5,5.95,120,78,42,65.0,15.6,22,2,4,0,1,0,6,10,Medium,0,False,60.0,Complete at least 22 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,22,78.0,Moderate_Gap,7,30,1,Approaching_OJT,22.0,100.0
SE1800035,Good,6,8.19,120,100,20,83.33,16.67,0,1,0,0,0,0,7,1,Low,0,True,87.0,Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,1,90,1,Approaching_OJT,0.0,99.98
SE1800036,LateStarter,5,7.13,120,85,35,70.83,17.0,15,2,3,1,0,0,7,6,Medium,0,False,64.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,15,85.0,Near_Eligible,6,40,2,Moderate_Planning_Gap,7.5,100.0
SE1800037,AtRisk,4,5.66,120,57,63,47.5,14.25,43,4,4,3,1,1,5,18,High,1,False,17.5,Complete at least 43 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,43,57.0,Moderate_Gap,13,0,1,Approaching_OJT,43.0,100.0
SE1800038,Critical,3,4.72,120,35,85,29.17,11.67,65,7,7,2,2,1,5,21,High,1,False,0.0,Complete at least 65 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,65,35.0,Far_From_Eligible,19,0,2,Moderate_Planning_Gap,32.5,99.97
SE1800039,Good,3,7.1,120,62,58,51.67,20.67,38,1,1,1,0,0,5,7,Medium,0,False,60.0,Complete at least 38 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,38,62.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,19.0,99.98
SE1800040,Critical,3,4.37,120,32,88,26.67,10.67,68,5,5,4,3,2,6,24,High,1,False,0.0,Complete at least 68 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,68,32.0,Far_From_Eligible,19,0,3,Long_Term_Planning,22.67,99.97
SE1800041,Average,8,6.11,120,117,3,97.5,14.62,0,1,3,0,1,0,8,6,Medium,0,True,84.5,Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Near_Completion,0,100.0,Eligible,5,50,0,OJT_Ready_Stage,0.0,100.0
SE1800042,Average,6,6.68,120,98,22,81.67,16.33,2,2,4,0,1,0,6,7,Medium,0,False,70.0,Complete at least 2 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Near_Completion,2,98.0,Near_Eligible,7,30,0,OJT_Ready_Stage,2.0,100.0
SE1800043,AtRisk,3,5.31,120,42,78,35.0,14.0,58,4,6,3,2,0,5,18,High,1,False,9.0,Complete at least 58 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,58,42.0,Far_From_Eligible,15,0,2,Moderate_Planning_Gap,29.0,100.0
SE1800044,Average,7,6.67,120,105,15,87.5,15.0,0,3,3,1,0,0,8,7,Medium,0,False,71.5,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,7,30,1,Approaching_OJT,0.0,100.0
SE1800045,Good,4,7.86,120,78,42,65.0,19.5,22,1,1,1,0,0,6,6,Medium,0,False,68.0,Complete at least 22 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,22,78.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,11.0,100.0
SE1800046,AtRisk,7,5.73,120,94,26,78.33,13.43,6,4,5,1,1,1,8,15,High,1,False,46.0,Complete at least 6 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,6,94.0,Near_Eligible,12,0,1,Approaching_OJT,6.0,99.99
SE1800047,Good,3,7.04,120,53,67,44.17,17.67,47,1,2,0,0,0,5,5,Low,0,False,59.5,Complete at least 47 more credits. Retake failed courses as soon as possible.,Developing,47,53.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,23.5,99.98
SE1800048,AtRisk,4,5.4,120,54,66,45.0,13.5,46,5,3,1,2,0,5,16,High,1,False,30.0,Complete at least 46 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,46,54.0,Moderate_Gap,11,0,1,Approaching_OJT,46.0,100.0
SE1800049,AtRisk,5,5.46,120,85,35,70.83,17.0,15,3,3,2,1,1,7,15,High,1,False,42.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,15,85.0,Near_Eligible,10,0,2,Moderate_Planning_Gap,7.5,100.0
SE1800050,LateStarter,6,6.81,120,108,12,90.0,18.0,0,3,5,0,1,0,7,8,Medium,0,True,70.0,Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Near_Completion,0,100.0,Eligible,9,10,1,Approaching_OJT,0.0,100.0
SE1800051,AtRisk,6,5.27,120,98,22,81.67,16.33,2,4,4,2,2,0,7,14,High,1,False,47.0,Complete at least 2 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Near_Completion,2,98.0,Near_Eligible,12,0,1,Approaching_OJT,2.0,100.0
SE1800052,Good,4,8.33,120,69,51,57.5,17.25,31,0,0,0,0,0,5,3,Low,0,False,74.5,Complete at least 31 more credits.,Developing,31,69.0,Moderate_Gap,0,100,1,Approaching_OJT,31.0,100.0
SE1800053,Excellent,4,9.31,120,78,42,65.0,19.5,22,0,0,0,0,0,6,2,Low,0,False,79.0,Complete at least 22 more credits.,Advanced,22,78.0,Moderate_Gap,0,100,2,Moderate_Planning_Gap,11.0,100.0
SE1800054,Average,7,6.3,120,112,8,93.33,16.0,0,2,2,1,0,0,8,5,Low,0,False,80.0,Complete all prerequisite courses. Retake failed courses as soon as possible.,Near_Completion,0,100.0,Eligible,5,50,1,Approaching_OJT,0.0,100.0
SE1800055,Average,1,6.33,120,19,101,15.83,19.0,81,3,2,1,0,0,6,9,Medium,0,False,30.5,Complete at least 81 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Early,81,19.0,Far_From_Eligible,6,40,5,Long_Term_Planning,16.2,100.0
SE1800056,Average,5,6.08,120,93,27,77.5,18.6,7,1,4,0,0,0,7,5,Low,0,False,75.5,Complete at least 7 more credits. Retake failed courses as soon as possible.,Advanced,7,93.0,Near_Eligible,5,50,2,Moderate_Planning_Gap,3.5,100.0
SE1800057,Good,4,7.5,120,82,38,68.33,20.5,18,1,1,1,0,0,6,6,Medium,0,False,70.0,Complete at least 18 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,18,82.0,Near_Eligible,3,70,2,Moderate_Planning_Gap,9.0,100.0
SE1800058,Excellent,4,10.0,120,77,43,64.17,19.25,23,0,0,0,0,0,5,2,Low,0,False,78.5,Complete at least 23 more credits.,Advanced,23,77.0,Moderate_Gap,0,100,1,Approaching_OJT,23.0,100.0
SE1800059,AtRisk,5,5.24,120,83,37,69.17,16.6,17,5,3,3,1,1,7,18,High,1,False,29.5,Complete at least 17 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,17,83.0,Near_Eligible,13,0,2,Moderate_Planning_Gap,8.5,100.0
SE1800060,AtRisk,3,5.6,120,47,73,39.17,15.67,53,5,3,1,2,0,5,16,High,1,False,26.5,Complete at least 53 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,53,47.0,Far_From_Eligible,11,0,2,Moderate_Planning_Gap,26.5,99.98
SE1800061,Recovery,5,6.71,120,84,36,70.0,16.8,16,2,4,0,0,0,6,6,Medium,0,False,68.0,Complete at least 16 more credits. Retake failed courses as soon as possible.,Advanced,16,84.0,Near_Eligible,6,40,1,Approaching_OJT,16.0,100.0
SE1800062,Average,3,6.68,120,57,63,47.5,19.0,43,1,1,1,1,0,5,10,Medium,0,False,52.5,Complete at least 43 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,43,57.0,Moderate_Gap,4,60,2,Moderate_Planning_Gap,21.5,100.0
SE1800063,Average,4,6.84,120,75,45,62.5,18.75,25,1,4,1,1,0,6,10,Medium,0,False,55.5,Complete at least 25 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,25,75.0,Moderate_Gap,7,30,2,Moderate_Planning_Gap,12.5,100.0
SE1800064,Good,4,7.97,120,77,43,64.17,19.25,23,1,1,1,0,0,5,6,Medium,0,False,67.5,Complete at least 23 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,23,77.0,Moderate_Gap,3,70,1,Approaching_OJT,23.0,100.0
SE1800065,AtRisk,2,5.87,120,27,93,22.5,13.5,73,4,6,2,1,1,6,18,High,1,False,4.5,Complete at least 73 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,73,27.0,Far_From_Eligible,14,0,4,Long_Term_Planning,18.25,100.0
SE1800066,Good,3,8.19,120,55,65,45.83,18.33,45,1,2,1,0,0,5,7,Medium,0,False,54.5,Complete at least 45 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,45,55.0,Moderate_Gap,4,60,2,Moderate_Planning_Gap,22.5,100.0
SE1800067,Good,4,7.83,120,71,49,59.17,17.75,29,1,2,1,0,0,5,6,Medium,0,False,62.5,Complete at least 29 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,29,71.0,Moderate_Gap,4,60,1,Approaching_OJT,29.0,100.0
SE1800068,Good,4,7.36,120,78,42,65.0,19.5,22,1,1,1,0,0,6,6,Medium,0,False,68.0,Complete at least 22 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Advanced,22,78.0,Moderate_Gap,3,70,2,Moderate_Planning_Gap,11.0,100.0
SE1800069,AtRisk,3,5.25,120,37,83,30.83,12.33,63,5,4,2,1,0,5,16,High,1,False,18.5,Complete at least 63 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,63,37.0,Far_From_Eligible,12,0,2,Moderate_Planning_Gap,31.5,100.0
SE1800070,Good,4,8.08,120,80,40,66.67,20.0,20,1,0,0,0,0,6,3,Low,0,False,77.0,Complete at least 20 more credits. Retake failed courses as soon as possible.,Advanced,20,80.0,Near_Eligible,1,90,2,Moderate_Planning_Gap,10.0,100.0
SE1800071,Good,1,7.8,120,20,100,16.67,20.0,80,0,0,1,0,0,5,5,Low,0,False,44.0,Complete at least 80 more credits. Complete all prerequisite courses.,Early,80,20.0,Far_From_Eligible,1,90,4,Long_Term_Planning,20.0,100.0
SE1800072,Critical,5,4.2,120,69,51,57.5,13.8,31,7,6,2,3,2,6,23,High,1,False,0.0,Complete at least 31 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,31,69.0,Moderate_Gap,20,0,1,Approaching_OJT,31.0,100.0
SE1800073,AtRisk,4,5.07,120,51,69,42.5,12.75,49,3,4,3,2,0,5,17,High,1,False,20.5,Complete at least 49 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,49,51.0,Moderate_Gap,12,0,1,Approaching_OJT,49.0,100.0
SE1800074,Good,5,7.9,120,100,20,83.33,20.0,0,0,2,1,0,0,7,3,Low,0,False,80.0,Complete all prerequisite courses.,Near_Completion,0,100.0,Eligible,3,70,2,Moderate_Planning_Gap,0.0,100.0
SE1800075,Critical,8,3.96,120,89,31,74.17,11.12,11,5,6,4,2,2,8,22,High,1,False,7.5,Complete at least 11 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,11,89.0,Near_Eligible,19,0,0,OJT_Ready_Stage,11.0,100.0
SE1800076,Average,3,6.17,120,46,74,38.33,15.33,54,1,1,1,1,0,6,10,Medium,0,False,47.0,Complete at least 54 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,54,46.0,Far_From_Eligible,4,60,3,Long_Term_Planning,18.0,100.0
SE1800077,Excellent,3,8.92,120,61,59,50.83,20.33,39,0,0,0,0,0,5,3,Low,0,False,70.5,Complete at least 39 more credits.,Developing,39,61.0,Moderate_Gap,0,100,2,Moderate_Planning_Gap,19.5,100.0
SE1800078,Average,5,6.9,120,84,36,70.0,16.8,16,1,1,0,1,0,7,7,Medium,0,False,72.0,Complete at least 16 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,16,84.0,Near_Eligible,3,70,2,Moderate_Planning_Gap,8.0,100.0
SE1800079,Good,5,8.04,120,92,28,76.67,18.4,8,1,1,0,0,0,7,3,Low,0,False,81.0,Complete at least 8 more credits. Retake failed courses as soon as possible.,Advanced,8,92.0,Near_Eligible,2,80,2,Moderate_Planning_Gap,4.0,100.0
SE1800080,Average,1,6.23,120,20,100,16.67,20.0,80,3,1,2,1,0,5,12,High,1,False,22.0,Complete at least 80 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,80,20.0,Far_From_Eligible,7,30,4,Long_Term_Planning,20.0,100.0
SE1800081,Average,5,6.91,120,85,35,70.83,17.0,15,3,4,2,1,0,7,11,High,1,False,48.5,Complete at least 15 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,15,85.0,Near_Eligible,10,0,2,Moderate_Planning_Gap,7.5,100.0
SE1800082,Good,4,8.0,120,81,39,67.5,20.25,19,0,1,1,0,0,6,5,Low,0,False,72.5,Complete at least 19 more credits. Complete all prerequisite courses.,Advanced,19,81.0,Near_Eligible,2,80,2,Moderate_Planning_Gap,9.5,100.0
SE1800083,AtRisk,5,5.45,120,78,42,65.0,15.6,22,4,5,1,2,0,7,15,High,1,False,41.0,Complete at least 22 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,22,78.0,Moderate_Gap,12,0,2,Moderate_Planning_Gap,11.0,100.0
SE1800084,Average,3,6.36,120,57,63,47.5,19.0,43,2,4,0,0,0,5,7,Medium,0,False,54.5,Complete at least 43 more credits. Retake failed courses as soon as possible.,Developing,43,57.0,Moderate_Gap,6,40,2,Moderate_Planning_Gap,21.5,100.0
SE1800085,Recovery,4,6.5,120,59,61,49.17,14.75,41,1,4,0,0,0,5,7,Medium,0,False,58.5,Complete at least 41 more credits. Retake failed courses as soon as possible.,Developing,41,59.0,Moderate_Gap,5,50,1,Approaching_OJT,41.0,100.0
SE1800086,Average,2,6.98,120,31,89,25.83,15.5,69,2,1,2,0,0,6,9,Medium,0,False,35.5,Complete at least 69 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Early,69,31.0,Far_From_Eligible,5,50,4,Long_Term_Planning,17.25,100.0
SE1800087,Average,3,6.83,120,52,68,43.33,17.33,48,1,4,2,0,0,5,10,Medium,0,False,43.0,Complete at least 48 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,48,52.0,Moderate_Gap,7,30,2,Moderate_Planning_Gap,24.0,100.0
SE1800088,Recovery,4,6.68,120,71,49,59.17,17.75,29,1,3,1,1,0,5,10,Medium,0,False,55.5,Complete at least 29 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,29,71.0,Moderate_Gap,6,40,1,Approaching_OJT,29.0,100.0
SE1800089,Good,3,7.87,120,60,60,50.0,20.0,40,1,0,1,0,0,6,6,Medium,0,False,61.0,Complete at least 40 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible.,Developing,40,60.0,Moderate_Gap,2,80,3,Long_Term_Planning,13.33,100.0
SE1800090,Average,4,6.45,120,70,50,58.33,17.5,30,1,2,2,1,0,6,10,Medium,0,False,51.0,Complete at least 30 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Developing,30,70.0,Moderate_Gap,6,40,2,Moderate_Planning_Gap,15.0,100.0
SE1800091,Excellent,5,9.56,120,102,18,85.0,20.4,0,0,0,0,0,0,7,0,Low,0,True,91.0,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,2,Moderate_Planning_Gap,0.0,100.0
SE1800092,Critical,6,4.16,120,81,39,67.5,13.5,19,8,5,4,2,2,6,23,High,1,False,0.0,Complete at least 19 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,19,81.0,Near_Eligible,21,0,0,OJT_Ready_Stage,19.0,100.0
SE1800093,Excellent,6,8.9,120,114,6,95.0,19.0,0,0,0,0,0,0,7,0,Low,0,True,97.0,You are ready for OJT.,Near_Completion,0,100.0,Eligible,0,100,1,Approaching_OJT,0.0,100.0
SE1800094,Critical,1,3.6,120,15,105,12.5,15.0,85,7,6,4,2,2,5,24,High,1,False,0.0,Complete at least 85 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Early,85,15.0,Far_From_Eligible,21,0,4,Long_Term_Planning,21.25,100.0
SE1800095,AtRisk,5,5.1,120,73,47,60.83,14.6,27,5,5,1,1,1,6,17,High,1,False,32.5,Complete at least 27 more credits. Complete all prerequisite courses. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,27,73.0,Moderate_Gap,13,0,1,Approaching_OJT,27.0,100.0
SE1800096,Good,4,7.22,120,76,44,63.33,19.0,24,1,2,0,0,0,5,4,Low,0,False,71.0,Complete at least 24 more credits. Retake failed courses as soon as possible.,Advanced,24,76.0,Moderate_Gap,3,70,1,Approaching_OJT,24.0,100.0
SE1800097,Average,4,6.68,120,75,45,62.5,18.75,25,3,2,0,1,0,6,8,Medium,0,False,59.5,Complete at least 25 more credits. Retake failed courses as soon as possible. Improve GPA to remove academic warning.,Advanced,25,75.0,Moderate_Gap,6,40,2,Moderate_Planning_Gap,12.5,100.0
