Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,OJT_Eligible,OJT_Readiness,Credit_Progress_Category,OJT_Credit_Gap,OJT_Credit_Progress,OJT_Eligibility_Gap_Category,Academic_Risk_Index,Academic_Stability,OJT_Semester_Gap,OJT_Planning_Status,Required_Average_Credits_Per_Semester,Credit_Completion_Efficiency
3,7.3,120,63,57,52.5,21.0,37,1,1,1,0,0,6,False,60.5,Developing,37,63,Moderate_Gap,3,70,3,Long_Term_Planning,12.33,100.0
4,7.2,120,70,50,58.33,17.5,30,0,0,0,0,0,5,False,75.0,Developing,30,70,Moderate_Gap,0,100,1,Approaching_OJT,30.0,100.0
7,9.83,120,118,2,98.33,16.86,0,0,0,0,0,0,8,True,99.0,Near_Completion,0,100,Eligible,0,100,1,Approaching_OJT,0.0,99.98
6,5.14,120,90,30,75.0,15.0,10,3,6,2,1,0,7,False,47.0,Advanced,10,90,Near_Eligible,12,0,1,Approaching_OJT,10.0,100.0
3,8.14,120,56,64,46.67,18.67,44,1,1,1,0,0,6,False,57.0,Developing,44,56,Moderate_Gap,3,70,3,Long_Term_Planning,14.67,99.98
5,8.01,120,88,32,73.33,17.6,12,1,1,1,0,0,6,False,73.0,Advanced,12,88,Near_Eligible,3,70,1,Approaching_OJT,12.0,100.0
7,6.26,120,114,6,95.0,16.29,0,1,3,1,1,0,8,False,77.0,Near_Completion,0,100,Eligible,6,40,1,Approaching_OJT,0.0,99.97
6,5.14,120,91,29,75.83,15.17,9,3,5,3,2,0,7,False,38.5,Advanced,9,91,Near_Eligible,13,0,1,Approaching_OJT,9.0,99.98
7,7.14,120,114,6,95.0,16.29,0,1,1,0,0,0,8,True,92.0,Near_Completion,0,100,Eligible,2,80,1,Approaching_OJT,0.0,99.97
5,6.08,120,93,27,77.5,18.6,7,1,4,0,0,0,7,False,75.5,Advanced,7,93,Near_Eligible,5,50,2,Moderate_Planning_Gap,3.5,100.0
6,7.02,120,101,19,84.17,16.83,0,1,0,1,0,0,6,False,81.5,Near_Completion,0,100,Eligible,2,80,0,OJT_Ready_Stage,0.0,100.0
1,6.66,120,18,102,15.0,18.0,82,1,2,0,0,0,5,False,42.0,Early,82,18,Far_From_Eligible,3,70,4,Long_Term_Planning,20.5,100.0
2,7.36,120,36,84,30.0,18.0,64,1,0,0,0,0,6,False,55.0,Developing,64,36,Far_From_Eligible,1,90,4,Long_Term_Planning,16.0,100.0
5,7.38,120,97,23,80.83,19.4,3,0,2,1,0,0,7,False,78.5,Near_Completion,3,97,Near_Eligible,3,70,2,Moderate_Planning_Gap,1.5,100.0
5,6.15,120,82,38,68.33,16.4,18,1,3,1,1,0,7,False,61.0,Advanced,18,82,Near_Eligible,6,40,2,Moderate_Planning_Gap,9.0,100.0
4,9.31,120,74,46,61.67,18.5,26,0,0,0,0,0,6,False,77.0,Advanced,26,74,Moderate_Gap,0,100,2,Moderate_Planning_Gap,13.0,100.0
3,8.44,120,60,60,50.0,20.0,40,1,2,1,0,0,5,False,57.0,Developing,40,60,Moderate_Gap,4,60,2,Moderate_Planning_Gap,20.0,100.0
5,8.27,120,95,25,79.17,19.0,5,0,1,0,0,0,7,False,85.5,Advanced,5,95,Near_Eligible,1,90,2,Moderate_Planning_Gap,2.5,100.0
4,8.39,120,71,49,59.17,17.75,29,1,1,1,0,0,5,False,64.5,Developing,29,71,Moderate_Gap,3,70,1,Approaching_OJT,29.0,100.0
5,9.86,120,103,17,85.83,20.6,0,0,0,0,0,0,7,True,91.5,Near_Completion,0,100,Eligible,0,100,2,Moderate_Planning_Gap,0.0,100.0
3,5.68,120,36,84,30.0,12.0,64,3,5,3,2,1,6,False,3.0,Developing,64,36,Far_From_Eligible,14,0,3,Long_Term_Planning,21.33,100.0
2,6.88,120,24,96,20.0,12.0,76,4,4,2,0,0,5,False,20.0,Early,76,24,Far_From_Eligible,10,0,3,Long_Term_Planning,25.33,100.0
6,6.28,120,105,15,87.5,17.5,0,3,2,0,0,0,6,True,79.5,Near_Completion,0,100,Eligible,5,50,0,OJT_Ready_Stage,0.0,100.0
4,4.47,120,54,66,45.0,13.5,46,7,6,3,2,2,6,False,0.0,Developing,46,54,Moderate_Gap,20,0,2,Moderate_Planning_Gap,23.0,100.0
1,6.99,120,19,101,15.83,19.0,81,2,1,1,1,0,5,False,30.5,Early,81,19,Far_From_Eligible,5,50,4,Long_Term_Planning,20.25,100.0
6,6.3,120,102,18,85.0,17.0,0,3,4,0,1,0,6,True,69.0,Near_Completion,0,100,Eligible,8,20,0,OJT_Ready_Stage,0.0,100.0
8,8.24,120,120,0,100.0,15.0,0,1,0,0,0,0,8,True,97.0,Near_Completion,0,100,Eligible,1,90,0,OJT_Ready_Stage,0.0,100.0
5,5.17,120,77,43,64.17,15.4,23,5,4,1,2,0,7,False,39.5,Advanced,23,77,Moderate_Gap,12,0,2,Moderate_Planning_Gap,11.5,100.0
5,5.49,120,71,49,59.17,14.2,29,5,5,1,2,0,6,False,34.5,Developing,29,71,Moderate_Gap,13,0,1,Approaching_OJT,29.0,100.0
6,6.63,120,97,23,80.83,16.17,3,3,2,0,1,0,6,False,70.5,Near_Completion,3,97,Near_Eligible,6,40,0,OJT_Ready_Stage,3.0,99.98
5,7.86,120,93,27,77.5,18.6,7,1,0,1,0,0,6,False,77.5,Advanced,7,93,Near_Eligible,2,80,1,Approaching_OJT,7.0,100.0
5,5.67,120,68,52,56.67,13.6,32,4,5,3,1,1,7,False,21.0,Developing,32,68,Moderate_Gap,14,0,2,Moderate_Planning_Gap,16.0,100.0
7,6.94,120,108,12,90.0,15.43,0,1,4,1,0,0,8,False,77.0,Near_Completion,0,100,Eligible,6,40,1,Approaching_OJT,0.0,99.99
4,8.49,120,74,46,61.67,18.5,26,0,2,1,0,0,5,False,67.0,Advanced,26,74,Moderate_Gap,3,70,1,Approaching_OJT,26.0,100.0
6,8.96,120,112,8,93.33,18.67,0,0,0,0,0,0,7,True,96.0,Near_Completion,0,100,Eligible,0,100,1,Approaching_OJT,0.0,99.98
2,7.68,120,35,85,29.17,17.5,65,1,0,0,0,0,5,False,54.5,Early,65,35,Far_From_Eligible,1,90,3,Long_Term_Planning,21.67,100.0
6,8.16,120,100,20,83.33,16.67,0,0,0,1,0,0,7,False,84.0,Near_Completion,0,100,Eligible,1,90,1,Approaching_OJT,0.0,99.98
3,6.07,120,47,73,39.17,15.67,53,3,1,2,0,0,5,False,40.5,Developing,53,47,Far_From_Eligible,6,40,2,Moderate_Planning_Gap,26.5,99.98
6,7.88,120,110,10,91.67,18.33,0,0,0,0,0,0,7,True,95.0,Near_Completion,0,100,Eligible,0,100,1,Approaching_OJT,0.0,100.0
4,9.72,120,77,43,64.17,19.25,23,0,0,0,0,0,5,False,78.5,Advanced,23,77,Moderate_Gap,0,100,1,Approaching_OJT,23.0,100.0
5,6.99,120,94,26,78.33,18.8,6,2,3,2,1,0,7,False,58.0,Advanced,6,94,Near_Eligible,8,20,2,Moderate_Planning_Gap,3.0,100.0
3,7.09,120,60,60,50.0,20.0,40,0,0,1,0,0,6,False,64.0,Developing,40,60,Moderate_Gap,1,90,3,Long_Term_Planning,13.33,100.0
5,6.7,120,78,42,65.0,15.6,22,1,4,1,1,0,7,False,57.0,Advanced,22,78,Moderate_Gap,7,30,2,Moderate_Planning_Gap,11.0,100.0
6,6.68,120,96,24,80.0,16.0,4,2,1,2,0,0,6,False,68.0,Near_Completion,4,96,Near_Eligible,5,50,0,OJT_Ready_Stage,4.0,100.0
3,6.57,120,54,66,45.0,18.0,46,1,2,2,0,0,5,False,48.0,Developing,46,54,Moderate_Gap,5,50,2,Moderate_Planning_Gap,23.0,100.0
5,9.88,120,101,19,84.17,20.2,0,0,0,0,0,0,7,True,90.5,Near_Completion,0,100,Eligible,0,100,2,Moderate_Planning_Gap,0.0,100.0
1,6.27,120,17,103,14.17,17.0,83,1,1,2,0,0,5,False,31.5,Early,83,17,Far_From_Eligible,4,60,4,Long_Term_Planning,20.75,100.0
2,7.62,120,39,81,32.5,19.5,61,1,0,0,0,0,6,False,56.5,Developing,61,39,Far_From_Eligible,1,90,4,Long_Term_Planning,15.25,100.0
5,5.01,120,70,50,58.33,14.0,30,4,5,2,1,1,7,False,28.0,Developing,30,70,Moderate_Gap,13,0,2,Moderate_Planning_Gap,15.0,100.0
6,8.71,120,108,12,90.0,18.0,0,0,0,0,0,0,6,True,94.0,Near_Completion,0,100,Eligible,0,100,0,OJT_Ready_Stage,0.0,100.0
8,7.44,120,116,4,96.67,14.5,0,0,2,1,0,0,8,False,88.0,Near_Completion,0,100,Eligible,3,70,0,OJT_Ready_Stage,0.0,100.0
5,5.77,120,70,50,58.33,14.0,30,4,3,2,2,0,7,False,35.0,Developing,30,70,Moderate_Gap,11,0,2,Moderate_Planning_Gap,15.0,100.0
5,5.46,120,82,38,68.33,16.4,18,4,3,2,1,1,7,False,38.0,Advanced,18,82,Near_Eligible,11,0,2,Moderate_Planning_Gap,9.0,100.0
5,6.61,120,88,32,73.33,17.6,12,2,4,0,0,0,7,False,70.0,Advanced,12,88,Near_Eligible,6,40,2,Moderate_Planning_Gap,6.0,100.0
4,6.95,120,73,47,60.83,18.25,27,2,1,1,0,0,6,False,62.5,Advanced,27,73,Moderate_Gap,4,60,2,Moderate_Planning_Gap,13.5,100.0
6,8.65,120,106,14,88.33,17.67,0,0,0,0,0,0,7,True,93.0,Near_Completion,0,100,Eligible,0,100,1,Approaching_OJT,0.0,99.98
4,8.17,120,76,44,63.33,19.0,24,0,2,0,0,0,6,False,74.0,Advanced,24,76,Moderate_Gap,2,80,2,Moderate_Planning_Gap,12.0,100.0
3,5.82,120,42,78,35.0,14.0,58,5,5,2,1,0,6,False,19.0,Developing,58,42,Far_From_Eligible,13,0,3,Long_Term_Planning,19.33,100.0
1,8.33,120,19,101,15.83,19.0,81,0,0,1,0,0,6,False,43.5,Early,81,19,Far_From_Eligible,1,90,5,Long_Term_Planning,16.2,100.0
6,4.49,120,80,40,66.67,13.33,20,8,7,3,2,2,6,False,0.0,Advanced,20,80,Near_Eligible,22,0,0,OJT_Ready_Stage,20.0,100.0
3,6.04,120,49,71,40.83,16.33,51,1,4,2,0,0,5,False,41.5,Developing,51,49,Far_From_Eligible,7,30,2,Moderate_Planning_Gap,25.5,100.0
4,7.03,120,78,42,65.0,19.5,22,1,1,1,0,0,6,False,68.0,Advanced,22,78,Moderate_Gap,3,70,2,Moderate_Planning_Gap,11.0,100.0
5,7.58,120,99,21,82.5,19.8,1,0,1,0,0,0,6,False,87.5,Near_Completion,1,99,Near_Eligible,1,90,1,Approaching_OJT,1.0,100.0
4,8.35,120,75,45,62.5,18.75,25,1,0,0,0,0,6,False,74.5,Advanced,25,75,Moderate_Gap,1,90,2,Moderate_Planning_Gap,12.5,100.0
5,7.88,120,96,24,80.0,19.2,4,1,0,0,0,0,6,False,85.0,Near_Completion,4,96,Near_Eligible,1,90,1,Approaching_OJT,4.0,100.0
1,6.59,120,19,101,15.83,19.0,81,1,2,0,1,0,5,False,37.5,Early,81,19,Far_From_Eligible,4,60,4,Long_Term_Planning,20.25,100.0
3,6.96,120,55,65,45.83,18.33,45,3,3,1,0,0,5,False,46.5,Developing,45,55,Moderate_Gap,7,30,2,Moderate_Planning_Gap,22.5,100.0
3,8.38,120,53,67,44.17,17.67,47,1,2,0,0,0,5,False,59.5,Developing,47,53,Moderate_Gap,3,70,2,Moderate_Planning_Gap,23.5,99.98
8,6.41,120,108,12,90.0,13.5,0,3,2,0,0,0,8,True,81.0,Near_Completion,0,100,Eligible,5,50,0,OJT_Ready_Stage,0.0,100.0
4,4.78,120,44,76,36.67,11.0,56,8,7,4,3,2,5,False,0.0,Developing,56,44,Far_From_Eligible,24,0,1,Approaching_OJT,56.0,100.0
6,8.12,120,106,14,88.33,17.67,0,0,0,1,0,0,6,False,87.0,Near_Completion,0,100,Eligible,1,90,0,OJT_Ready_Stage,0.0,99.98
5,5.08,120,73,47,60.83,14.6,27,3,6,2,2,1,6,False,25.5,Advanced,27,73,Moderate_Gap,14,0,1,Approaching_OJT,27.0,100.0
5,6.32,120,89,31,74.17,17.8,11,2,3,2,0,0,6,False,60.5,Advanced,11,89,Near_Eligible,7,30,1,Approaching_OJT,11.0,100.0
2,8.27,120,45,75,37.5,22.5,55,0,2,0,0,0,5,False,58.5,Developing,55,45,Far_From_Eligible,2,80,3,Long_Term_Planning,18.33,100.0
3,5.85,120,49,71,40.83,16.33,51,5,5,3,2,0,6,False,11.5,Developing,51,49,Far_From_Eligible,15,0,3,Long_Term_Planning,17.0,100.0
5,4.21,120,58,62,48.33,11.6,42,7,5,3,2,1,6,False,2.0,Developing,42,58,Moderate_Gap,18,0,1,Approaching_OJT,42.0,100.0
5,5.11,120,75,45,62.5,15.0,25,5,4,2,1,0,6,False,37.5,Advanced,25,75,Moderate_Gap,12,0,1,Approaching_OJT,25.0,100.0
6,6.57,120,105,15,87.5,17.5,0,2,3,1,1,0,6,False,69.5,Near_Completion,0,100,Eligible,7,30,0,OJT_Ready_Stage,0.0,100.0
5,6.08,120,81,39,67.5,16.2,19,2,3,1,0,0,7,False,62.5,Advanced,19,81,Near_Eligible,6,40,2,Moderate_Planning_Gap,9.5,100.0
4,6.61,120,60,60,50.0,15.0,40,4,4,0,0,0,6,False,50.0,Developing,40,60,Moderate_Gap,8,20,2,Moderate_Planning_Gap,20.0,100.0
5,6.03,120,83,37,69.17,16.6,17,2,2,0,1,0,6,False,66.5,Advanced,17,83,Near_Eligible,5,50,1,Approaching_OJT,17.0,100.0
6,9.9,120,113,7,94.17,18.83,0,0,0,0,0,0,6,True,96.5,Near_Completion,0,100,Eligible,0,100,0,OJT_Ready_Stage,0.0,100.0
5,6.59,120,89,31,74.17,17.8,11,3,4,1,1,0,7,False,56.5,Advanced,11,89,Near_Eligible,9,10,2,Moderate_Planning_Gap,5.5,100.0
7,6.77,120,105,15,87.5,15.0,0,2,3,0,1,0,8,True,75.5,Near_Completion,0,100,Eligible,6,40,1,Approaching_OJT,0.0,100.0
3,7.06,120,50,70,41.67,16.67,50,1,1,0,0,0,5,False,60.0,Developing,50,50,Moderate_Gap,2,80,2,Moderate_Planning_Gap,25.0,99.98
3,7.26,120,56,64,46.67,18.67,44,1,1,0,0,0,6,False,63.0,Developing,44,56,Moderate_Gap,2,80,3,Long_Term_Planning,14.67,99.98
3,8.9,120,66,54,55.0,22.0,34,0,0,0,0,0,6,False,73.0,Developing,34,66,Moderate_Gap,0,100,3,Long_Term_Planning,11.33,100.0
5,7.2,120,100,20,83.33,20.0,0,1,1,1,0,0,7,False,79.0,Near_Completion,0,100,Eligible,3,70,2,Moderate_Planning_Gap,0.0,100.0
3,7.3,120,63,57,52.5,21.0,37,0,2,0,0,0,6,False,67.5,Developing,37,63,Moderate_Gap,2,80,3,Long_Term_Planning,12.33,100.0
1,8.3,120,20,100,16.67,20.0,80,1,1,0,0,0,6,False,45.0,Early,80,20,Far_From_Eligible,2,80,5,Long_Term_Planning,16.0,100.0
3,5.47,120,47,73,39.17,15.67,53,3,5,1,2,1,5,False,20.5,Developing,53,47,Far_From_Eligible,12,0,2,Moderate_Planning_Gap,26.5,99.98
3,6.06,120,58,62,48.33,19.33,42,3,4,2,1,0,5,False,35.0,Developing,42,58,Moderate_Gap,10,0,2,Moderate_Planning_Gap,21.0,100.0
4,6.99,120,60,60,50.0,15.0,40,3,5,0,1,0,5,False,46.0,Developing,40,60,Moderate_Gap,9,10,1,Approaching_OJT,40.0,100.0
3,8.11,120,51,69,42.5,17.0,49,0,0,0,0,0,5,False,65.5,Developing,49,51,Moderate_Gap,0,100,2,Moderate_Planning_Gap,24.5,100.0
4,7.4,120,77,43,64.17,19.25,23,0,2,0,0,0,6,False,74.5,Advanced,23,77,Moderate_Gap,2,80,2,Moderate_Planning_Gap,11.5,100.0
1,6.54,120,16,104,13.33,16.0,84,3,3,2,0,0,6,False,21.0,Early,84,16,Far_From_Eligible,8,20,5,Long_Term_Planning,16.8,100.0
3,6.9,120,45,75,37.5,15.0,55,1,4,1,0,0,6,False,45.5,Developing,55,45,Far_From_Eligible,6,40,3,Long_Term_Planning,18.33,100.0
3,6.51,120,56,64,46.67,18.67,44,3,3,0,0,0,6,False,53.0,Developing,44,56,Moderate_Gap,6,40,3,Long_Term_Planning,14.67,99.98
4,6.2,120,65,55,54.17,16.25,35,3,4,2,0,0,5,False,43.5,Developing,35,65,Moderate_Gap,9,10,1,Approaching_OJT,35.0,100.0
4,4.34,120,47,73,39.17,11.75,53,8,7,4,2,2,6,False,0.0,Developing,53,47,Far_From_Eligible,23,0,2,Moderate_Planning_Gap,26.5,100.0
3,5.94,120,48,72,40.0,16.0,52,4,5,1,2,0,6,False,26.0,Developing,52,48,Far_From_Eligible,12,0,3,Long_Term_Planning,17.33,100.0
3,4.93,120,42,78,35.0,14.0,58,5,7,3,2,2,5,False,0.0,Developing,58,42,Far_From_Eligible,19,0,2,Moderate_Planning_Gap,29.0,100.0
6,8.46,120,108,12,90.0,18.0,0,1,0,1,0,0,7,False,85.0,Near_Completion,0,100,Eligible,2,80,1,Approaching_OJT,0.0,100.0
1,6.71,120,19,101,15.83,19.0,81,3,2,2,0,0,6,False,24.5,Early,81,19,Far_From_Eligible,7,30,5,Long_Term_Planning,16.2,100.0
5,6.9,120,84,36,70.0,16.8,16,1,1,0,1,0,7,False,72.0,Advanced,16,84,Near_Eligible,3,70,2,Moderate_Planning_Gap,8.0,100.0
4,6.55,120,63,57,52.5,15.75,37,2,4,2,0,0,5,False,45.5,Developing,37,63,Moderate_Gap,8,20,1,Approaching_OJT,37.0,100.0
3,6.12,120,52,68,43.33,17.33,48,3,2,2,0,0,5,False,41.0,Developing,48,52,Moderate_Gap,7,30,2,Moderate_Planning_Gap,24.0,100.0
5,7.53,120,98,22,81.67,19.6,2,0,1,1,0,0,7,False,81.0,Near_Completion,2,98,Near_Eligible,2,80,2,Moderate_Planning_Gap,1.0,100.0
7,6.14,120,108,12,90.0,15.43,0,2,4,0,1,0,8,True,75.0,Near_Completion,0,100,Eligible,7,30,1,Approaching_OJT,0.0,99.99
4,5.03,120,53,67,44.17,13.25,47,4,3,2,1,0,6,False,31.5,Developing,47,53,Moderate_Gap,10,0,2,Moderate_Planning_Gap,23.5,100.0
1,6.86,120,17,103,14.17,17.0,83,2,4,2,0,0,6,False,22.5,Early,83,17,Far_From_Eligible,8,20,5,Long_Term_Planning,16.6,100.0
3,6.5,120,53,67,44.17,17.67,47,2,1,1,1,0,5,False,47.5,Developing,47,53,Moderate_Gap,5,50,2,Moderate_Planning_Gap,23.5,99.98
4,7.13,120,71,49,59.17,17.75,29,2,5,1,0,0,6,False,53.5,Developing,29,71,Moderate_Gap,8,20,2,Moderate_Planning_Gap,14.5,100.0
4,4.48,120,48,72,40.0,12.0,52,8,6,3,2,2,5,False,0.0,Developing,52,48,Far_From_Eligible,21,0,1,Approaching_OJT,52.0,100.0
